assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_004358365.1	PRJNA224116	SAMN10604455	na	na	na	na	562	562	Escherichia coli	strain=CFSAN027346	na	latest	Complete Genome	Major	Full	2019-03-20	ASM435836v1		GCA_004358365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/365/GCF_004358365.1_ASM435836v1	./../Escherichia/GCF_004358365.1_ASM435836v1_genomic.fna.gz
GCF_004358385.1	PRJNA224116	SAMN10604456	na	na	na	na	562	562	Escherichia coli	strain=CFSAN027350	na	latest	Complete Genome	Major	Full	2019-03-20	ASM435838v1		GCA_004358385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/385/GCF_004358385.1_ASM435838v1	./../Escherichia/GCF_004358385.1_ASM435838v1_genomic.fna.gz
GCF_004358405.1	PRJNA224116	SAMN10604454	na	na	na	na	562	562	Escherichia coli	strain=CFSAN027343	na	latest	Complete Genome	Major	Full	2019-03-20	ASM435840v1		GCA_004358405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/405/GCF_004358405.1_ASM435840v1	./../Escherichia/GCF_004358405.1_ASM435840v1_genomic.fna.gz
GCF_004358965.1	PRJNA224116	SAMN08823450	na	na	na	na	562	562	Escherichia coli	strain=CJ236	na	latest	Complete Genome	Major	Full	2019-03-21	ASM435896v1		GCA_004358965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/965/GCF_004358965.1_ASM435896v1	./../Escherichia/GCF_004358965.1_ASM435896v1_genomic.fna.gz
GCF_004358985.1	PRJNA224116	SAMN08824586	na	na	na	na	562	562	Escherichia coli	strain=BH212	na	latest	Complete Genome	Major	Full	2019-03-21	ASM435898v1		GCA_004358985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/985/GCF_004358985.1_ASM435898v1	./../Escherichia/GCF_004358985.1_ASM435898v1_genomic.fna.gz
GCF_004368015.1	PRJNA224116	SAMN08660891	na	na	na	na	562	562	Escherichia coli	strain=FORC_081	na	latest	Complete Genome	Major	Full	2019-03-25	ASM436801v1		GCA_004368015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/368/015/GCF_004368015.1_ASM436801v1	./../Escherichia/GCF_004368015.1_ASM436801v1_genomic.fna.gz
GCF_004377995.2	PRJNA224116	SAMN11130353	na	na	na	na	562	562	Escherichia coli	strain=1517k	na	latest	Complete Genome	Major	Full	2020-07-24	ASM437799v2		GCA_004377995.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/377/995/GCF_004377995.2_ASM437799v2	./../Escherichia/GCF_004377995.2_ASM437799v2_genomic.fna.gz
GCF_004405205.2	PRJNA224116	SAMN11174938	na	na	na	na	562	562	Escherichia coli	strain=GZ04-0086	na	latest	Complete Genome	Major	Full	2019-08-19	ASM440520v2		GCA_004405205.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/405/205/GCF_004405205.2_ASM440520v2	./../Escherichia/GCF_004405205.2_ASM440520v2_genomic.fna.gz
GCF_004526255.1	PRJNA224116	SAMN10986381	na	na	na	na	562	562	Escherichia coli	strain=2 HS-C	na	latest	Complete Genome	Major	Full	2019-03-31	ASM452625v1		GCA_004526255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/526/255/GCF_004526255.1_ASM452625v1	./../Escherichia/GCF_004526255.1_ASM452625v1_genomic.fna.gz
GCF_004564035.1	PRJNA224116	SAMN10740161	na	na	na	na	562	562	Escherichia coli	strain=04-00955	na	latest	Complete Genome	Major	Full	2019-04-02	ASM456403v1		GCA_004564035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/564/035/GCF_004564035.1_ASM456403v1	./../Escherichia/GCF_004564035.1_ASM456403v1_genomic.fna.gz
