assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_033232945.1	PRJNA224116	SAMN37933146	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=F321	na	latest	Complete Genome	Major	Full	2023-11-02	ASM3323294v1		GCA_033232945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/232/945/GCF_033232945.1_ASM3323294v1	./Development/ThreeFold/data/external/Citrobacter/GCF_033232945.1_ASM3323294v1_genomic.fna.gz
GCF_033235525.1	PRJNA224116	SAMN37934526	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=F2221	na	latest	Complete Genome	Major	Full	2023-11-02	ASM3323552v1		GCA_033235525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/235/525/GCF_033235525.1_ASM3323552v1	./Development/ThreeFold/data/external/Citrobacter/GCF_033235525.1_ASM3323552v1_genomic.fna.gz
GCF_036289065.1	PRJNA224116	SAMN37878022	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=F621	na	latest	Complete Genome	Major	Full	2023-10-31	ASM3628906v1		GCA_036289065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/289/065/GCF_036289065.1_ASM3628906v1	./Development/ThreeFold/data/external/Citrobacter/GCF_036289065.1_ASM3628906v1_genomic.fna.gz
GCF_036785855.1	PRJNA224116	SAMN22837217	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=CAVp365	na	latest	Complete Genome	Major	Full	2024-04-05	ASM3678585v1		GCA_036785855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/785/855/GCF_036785855.1_ASM3678585v1	./Development/ThreeFold/data/external/Citrobacter/GCF_036785855.1_ASM3678585v1_genomic.fna.gz
GCF_040436445.1	PRJNA224116	SAMN41685777	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=10034292-2	na	latest	Complete Genome	Major	Full	2024-07-02	ASM4043644v1		GCA_040436445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/436/445/GCF_040436445.1_ASM4043644v1	./Development/ThreeFold/data/external/Citrobacter/GCF_040436445.1_ASM4043644v1_genomic.fna.gz
GCF_040585435.1	PRJNA224116	SAMN26198498	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=19MO02SH05	na	latest	Complete Genome	Major	Full	2024-07-11	ASM4058543v1		GCA_040585435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/585/435/GCF_040585435.1_ASM4058543v1	./Development/ThreeFold/data/external/Citrobacter/GCF_040585435.1_ASM4058543v1_genomic.fna.gz
GCF_040591245.1	PRJNA224116	SAMN26198497	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=19MO02SH04	na	latest	Complete Genome	Major	Full	2024-07-11	ASM4059124v1		GCA_040591245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/591/245/GCF_040591245.1_ASM4059124v1	./Development/ThreeFold/data/external/Citrobacter/GCF_040591245.1_ASM4059124v1_genomic.fna.gz
GCF_041319845.1	PRJNA224116	SAMN29495194	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=OT205	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131984v1		GCA_041319845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/845/GCF_041319845.1_ASM4131984v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319845.1_ASM4131984v1_genomic.fna.gz
GCF_041319855.1	PRJNA224116	SAMN29495187	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=OT163	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131985v1		GCA_041319855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/855/GCF_041319855.1_ASM4131985v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319855.1_ASM4131985v1_genomic.fna.gz
GCF_041319865.1	PRJNA224116	SAMN29495185	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=OT151	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131986v1		GCA_041319865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/865/GCF_041319865.1_ASM4131986v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319865.1_ASM4131986v1_genomic.fna.gz
GCF_041319895.1	PRJNA224116	SAMN29495174	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=OT58	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131989v1		GCA_041319895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/895/GCF_041319895.1_ASM4131989v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319895.1_ASM4131989v1_genomic.fna.gz
GCF_041319915.1	PRJNA224116	SAMN29495184	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=OT150	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131991v1		GCA_041319915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/915/GCF_041319915.1_ASM4131991v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319915.1_ASM4131991v1_genomic.fna.gz
GCF_041319945.1	PRJNA224116	SAMN29495175	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=OT69	na	latest	Complete Genome	Major	Full	2024-08-18	ASM4131994v1		GCA_041319945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/319/945/GCF_041319945.1_ASM4131994v1	./Development/ThreeFold/data/external/Citrobacter/GCF_041319945.1_ASM4131994v1_genomic.fna.gz
GCF_046097145.1	PRJNA224116	SAMN45030901	na	na	na	na	1639133	1639133	Citrobacter portucalensis	strain=CRNMS3	na	latest	Complete Genome	Major	Full	2024-12-16	ASM4609714v1		GCA_046097145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/046/097/145/GCF_046097145.1_ASM4609714v1	./Development/ThreeFold/data/external/Citrobacter/GCF_046097145.1_ASM4609714v1_genomic.fna.gz
