assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_033170425.1	PRJNA224116	SAMN37935183	na	na	na	na	584	584	Proteus mirabilis	strain=PM33	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317042v1		GCA_033170425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/425/GCF_033170425.1_ASM3317042v1	./../Proteus/GCF_033170425.1_ASM3317042v1_genomic.fna.gz
GCF_033170445.1	PRJNA224116	SAMN37935185	na	na	na	na	584	584	Proteus mirabilis	strain=PM23	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317044v1		GCA_033170445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/445/GCF_033170445.1_ASM3317044v1	./../Proteus/GCF_033170445.1_ASM3317044v1_genomic.fna.gz
GCF_033170465.1	PRJNA224116	SAMN37935292	na	na	na	na	584	584	Proteus mirabilis	strain=PM35	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317046v1		GCA_033170465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/465/GCF_033170465.1_ASM3317046v1	./../Proteus/GCF_033170465.1_ASM3317046v1_genomic.fna.gz
GCF_033170485.1	PRJNA224116	SAMN37935302	na	na	na	na	584	584	Proteus mirabilis	strain=PM38	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317048v1		GCA_033170485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/485/GCF_033170485.1_ASM3317048v1	./../Proteus/GCF_033170485.1_ASM3317048v1_genomic.fna.gz
GCF_033170505.1	PRJNA224116	SAMN37935306	na	na	na	na	584	584	Proteus mirabilis	strain=PM44	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317050v1		GCA_033170505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/505/GCF_033170505.1_ASM3317050v1	./../Proteus/GCF_033170505.1_ASM3317050v1_genomic.fna.gz
GCF_033170525.1	PRJNA224116	SAMN37935461	na	na	na	na	584	584	Proteus mirabilis	strain=PM54	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317052v1		GCA_033170525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/525/GCF_033170525.1_ASM3317052v1	./../Proteus/GCF_033170525.1_ASM3317052v1_genomic.fna.gz
GCF_033170545.1	PRJNA224116	SAMN37935508	na	na	na	na	584	584	Proteus mirabilis	strain=PM65	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317054v1		GCA_033170545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/545/GCF_033170545.1_ASM3317054v1	./../Proteus/GCF_033170545.1_ASM3317054v1_genomic.fna.gz
GCF_033170575.1	PRJNA224116	SAMN37935521	na	na	na	na	584	584	Proteus mirabilis	strain=PM73	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317057v1		GCA_033170575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/575/GCF_033170575.1_ASM3317057v1	./../Proteus/GCF_033170575.1_ASM3317057v1_genomic.fna.gz
GCF_033170595.1	PRJNA224116	SAMN37936112	na	na	na	na	584	584	Proteus mirabilis	strain=PM74	na	latest	Complete Genome	Major	Full	2023-11-01	ASM3317059v1		GCA_033170595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/170/595/GCF_033170595.1_ASM3317059v1	./../Proteus/GCF_033170595.1_ASM3317059v1_genomic.fna.gz
GCF_033214275.1	PRJNA224116	SAMN37919047	na	na	na	na	584	584	Proteus mirabilis	strain=PM15	na	latest	Complete Genome	Major	Full	2023-11-02	ASM3321427v1		GCA_033214275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/214/275/GCF_033214275.1_ASM3321427v1	./../Proteus/GCF_033214275.1_ASM3321427v1_genomic.fna.gz
