assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_019286755.1	PRJNA224116	SAMN20115184	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC07_CMC432PC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928675v1		GCA_019286755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/286/755/GCF_019286755.1_ASM1928675v1	./Klebsiella/GCF_019286755.1_ASM1928675v1_genomic.fna.gz
GCF_019286855.1	PRJNA224116	SAMN20115186	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC08_CMC432MC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928685v1		GCA_019286855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/286/855/GCF_019286855.1_ASM1928685v1	./Klebsiella/GCF_019286855.1_ASM1928685v1_genomic.fna.gz
GCF_019286955.1	PRJNA224116	SAMN20115187	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC09_CMC309PC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928695v1		GCA_019286955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/286/955/GCF_019286955.1_ASM1928695v1	./Klebsiella/GCF_019286955.1_ASM1928695v1_genomic.fna.gz
GCF_019287035.1	PRJNA224116	SAMN20115539	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC11_S471PC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928703v1		GCA_019287035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/287/035/GCF_019287035.1_ASM1928703v1	./Klebsiella/GCF_019287035.1_ASM1928703v1_genomic.fna.gz
GCF_019287095.1	PRJNA224116	SAMN20115569	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC13_AI2040PC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928709v1		GCA_019287095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/287/095/GCF_019287095.1_ASM1928709v1	./Klebsiella/GCF_019287095.1_ASM1928709v1_genomic.fna.gz
GCF_019287195.1	PRJNA224116	SAMN20115570	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC14_AI2040MC	na	latest	Complete Genome	Major	Full	2021-07-20	ASM1928719v1		GCA_019287195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/287/195/GCF_019287195.1_ASM1928719v1	./Klebsiella/GCF_019287195.1_ASM1928719v1_genomic.fna.gz
GCF_019317005.1	PRJNA224116	SAMN20115188	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC10_CMC309MC	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931700v1		GCA_019317005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/005/GCF_019317005.1_ASM1931700v1	./Klebsiella/GCF_019317005.1_ASM1931700v1_genomic.fna.gz
GCF_019317025.1	PRJNA224116	SAMN20130504	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC15_AI1547PC	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931702v1		GCA_019317025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/025/GCF_019317025.1_ASM1931702v1	./Klebsiella/GCF_019317025.1_ASM1931702v1_genomic.fna.gz
GCF_019317045.1	PRJNA224116	SAMN20130506	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC17_CMC307PC	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931704v1		GCA_019317045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/045/GCF_019317045.1_ASM1931704v1	./Klebsiella/GCF_019317045.1_ASM1931704v1_genomic.fna.gz
GCF_019317065.1	PRJNA224116	SAMN20130505	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC16_AI1547MC	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931706v1		GCA_019317065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/065/GCF_019317065.1_ASM1931706v1	./Klebsiella/GCF_019317065.1_ASM1931706v1_genomic.fna.gz
GCF_019317085.1	PRJNA224116	SAMN20130509	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC18_CMC307MC	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931708v1		GCA_019317085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/085/GCF_019317085.1_ASM1931708v1	./Klebsiella/GCF_019317085.1_ASM1931708v1_genomic.fna.gz
GCF_019317105.1	PRJNA224116	SAMN20130519	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC19_AI1572C	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931710v1		GCA_019317105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/105/GCF_019317105.1_ASM1931710v1	./Klebsiella/GCF_019317105.1_ASM1931710v1_genomic.fna.gz
GCF_019317125.1	PRJNA224116	SAMN20130521	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC21_AI1646PC	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931712v1		GCA_019317125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/125/GCF_019317125.1_ASM1931712v1	./Klebsiella/GCF_019317125.1_ASM1931712v1_genomic.fna.gz
GCF_019317145.1	PRJNA224116	SAMN20130522	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC22_AI1646MC	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931714v1		GCA_019317145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/145/GCF_019317145.1_ASM1931714v1	./Klebsiella/GCF_019317145.1_ASM1931714v1_genomic.fna.gz
GCF_019317165.1	PRJNA224116	SAMN20130528	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC24_S468MC	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931716v1		GCA_019317165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/165/GCF_019317165.1_ASM1931716v1	./Klebsiella/GCF_019317165.1_ASM1931716v1_genomic.fna.gz
GCF_019317185.1	PRJNA224116	SAMN20130620	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC27_S471MPC	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931718v1		GCA_019317185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/185/GCF_019317185.1_ASM1931718v1	./Klebsiella/GCF_019317185.1_ASM1931718v1_genomic.fna.gz
GCF_019317205.1	PRJNA224116	SAMN20130675	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC28_CMC387MPCH	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931720v1		GCA_019317205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/205/GCF_019317205.1_ASM1931720v1	./Klebsiella/GCF_019317205.1_ASM1931720v1_genomic.fna.gz
GCF_019317225.1	PRJNA224116	SAMN20130677	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC29_CMC309MPCH	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931722v1		GCA_019317225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/225/GCF_019317225.1_ASM1931722v1	./Klebsiella/GCF_019317225.1_ASM1931722v1_genomic.fna.gz
GCF_019317245.1	PRJNA224116	SAMN20130732	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC30_AI1547MPCH	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931724v1		GCA_019317245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/245/GCF_019317245.1_ASM1931724v1	./Klebsiella/GCF_019317245.1_ASM1931724v1_genomic.fna.gz
GCF_019317265.1	PRJNA224116	SAMN20130733	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC31_S468MPCH	na	latest	Complete Genome	Major	Full	2021-07-22	ASM1931726v1		GCA_019317265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/265/GCF_019317265.1_ASM1931726v1	./Klebsiella/GCF_019317265.1_ASM1931726v1_genomic.fna.gz
GCF_019334705.1	PRJNA224116	SAMN20115065	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=WRC02_S465MC	na	latest	Complete Genome	Major	Full	2021-07-25	ASM1933470v1		GCA_019334705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/334/705/GCF_019334705.1_ASM1933470v1	./Klebsiella/GCF_019334705.1_ASM1933470v1_genomic.fna.gz
GCF_019880265.1	PRJNA224116	SAMN20959416	na	na	na	na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=Kp6	na	latest	Complete Genome	Major	Full	2021-09-05	ASM1988026v1		GCA_019880265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/880/265/GCF_019880265.1_ASM1988026v1	./Klebsiella/GCF_019880265.1_ASM1988026v1_genomic.fna.gz
